Name,Species,Breed,Sex,Age,County,Urgent Status,Dog Compatibility,Cat Compatibility,Kid Compatibility,Energy,Temperament,Spayed/Neutered,Vaccinated,Description,URL
PECK,Dog,Bull Terrier,Male,Young Adult,Riverside County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Weight- 45lbs  Peck was found abandoned at Peck Park with no food or water, until a good samaritan picked him up and brought him to us. He is a very happy dog and doesn't seem to have a problem with other dogs in the yard. He would be a great addition to a family with a lot of love to give him.",https://post.rescueme.org/26-03-04-00210
MORGAN,Dog,Bull Terrier,Female,Young Adult,Riverside County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weight- 35lbs  Morgan is a new arrival- more info coming,https://post.rescueme.org/26-03-04-00209
Mack,Dog,German Shorthaired Pointer,Male,Young Adult,San Bernardino County,No,Good,Good,Good,High,Average,No,Yes,"Mack is a handsome full bred 2.5yr old boy (51lbs.) but sadly without certification. Mack is an extremely loving and playful pup who has high intense energy! He is great around children and loves to be with his pack. He would need a home familiar with the breed or similar breeds. As well as an outdoor loving owner/family to work him and his energy out. He loves to smell any and all things while going on walks. He is accustomed to a prong collar while on walks, has mental stimulation feeders, and knows basic commands (sit, stay, come, drop it, okay/release command, lay down, get back, get down). He is also great with other dogs, loves the dog parks and a good trail walk/run. Rehoming has been a difficult decision for us but we know with the right family and commitment he will thrive!",https://post.rescueme.org/26-03-04-00171
Kingsley,Dog,Corgi,Male,Adult,Yolo County,No,Good,Unknown,Not Good,Average,Dominant,Yes,Yes,"Kingsley is a 5 yr old pure bred welsh corgi. He loves walks and tug of war. He plays well with adults but does not do well with children. He can take sometime to warm up to people and is a very stubborn corgi. He knows basic commands like come sit stay and a few tricks. Potty trained and crate trained. Does not do well with other dogs. Great dog for a couple or single with no kids and plenty of time to play, etc with him. We are surrendering him for adoption due to aggression with our young children. He was a great dog before kids",https://post.rescueme.org/26-03-04-00162
Gwen,Dog,Great Dane,Female,Young Adult,San Joaquin County,No,Unknown,Good,Good,Average,Average,No,Unknown,is a good dog that just needs some work. She does pull when on the leash but easily corrects herself. She is crate trained and has a crate. She is good with our children from toddlers to adults. She is on alert when new people come into the home but quickly realizes they are okay if we are okay with them here. She doesn't realize her size and has gotten the toddlers with her tail or knocked them over. She is very good with our indoor cat but does want to chase after the outdoor ones. She is good with our yorkie and my son's German shepherd mix(one male one female) but hasn't had exposure with us to any other dogs outside of that. Starting her vaccine series and gave a flea treatment when she arrived. She does have some hot spots and a wound that is healing where her collar sat. She is very good for a bath. She is not approved on our fostering license and had come to us after already ingredients getting our license. We now have 3 foster children under this license and cannot risk them being removed. She was a puppy from the 2nd of our 2 litters and we have a no questions asked return policy. We do have community connections and thought we could get her into a friend's home quickly but that fell through. Adoption fee is only for her care while she is with us.,https://post.rescueme.org/26-03-04-00149
URGENT AFTER 03/12,Dog,French Bulldog mix,Female,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549362  I am described as a female, black and white French Bulldog mix.  The shelter thinks I am about 3 years old.  I weigh approximately 27.40 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 12, 2026 at 10:09AM.",https://post.rescueme.org/26-03-04-00046
URGENT AFTER 03/10,Dog,Pit Bull mix,Male,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549364  I am described as a male, brown and white Pit Bull Terrier mix.  The shelter thinks I am about 5 years old.  I weigh approximately 29.10 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 10, 2026 at 11:21AM.",https://post.rescueme.org/26-03-04-00045
URGENT AFTER 03/12,Dog,Chihuahua mix,Female,Puppy,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549372  I am described as a female, black and brown Chihuahua - Long Haired mix.  The shelter thinks I am about 1 year.  I weigh approximately 8.40 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 12, 2026 at 1:03PM.",https://post.rescueme.org/26-03-04-00043
URGENT AFTER 03/10,Dog,Chihuahua mix,Female,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549373  I am described as a female, black and brown Chihuahua - Long Haired mix.  The shelter thinks I am about 2 years.  I weigh approximately 8.40 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 12, 2026 at 1:03PM.",https://post.rescueme.org/26-03-04-00042
URGENT AFTER 03/10,Dog,Poodle mix,Female,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549385  I am described as a female, tan Poodle - Toy mix.  The shelter thinks I am about 5 years old.  I weigh approximately 12.60 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 12, 2026 at 4:08PM.",https://post.rescueme.org/26-03-04-00040
