Name,Breed,Sex,Age,County,Urgent Status,Dog Compatibility,Cat Compatibility,Kid Compatibility,Energy,Temperament,Spayed/Neutered,Vaccinated,Description,URL
Rambo,American Shorthair / Domestic Cat,Male,Adult,Contra Costa County,No,Good,Good,Good,Average,Submissive,Yes,Yes,"Rambo is 9 years old, neutered, fully up to date on his shots, and has no medical issues. He's a friendly kitty who does well around kids and will warm up to other pets with time. He can be a little shy at first, but once comfortable, he's incredibly loving and enjoys cuddling. He prefers being indoors now (though he was outdoor his first few years) and would thrive in a calm home where he can get the attention he deserves. With a 10-month-old at home and very busy work schedules, we aren't able to give Rambo the time and love he truly deserves. Our priority is finding him a safe, stable, and loving home. If you think Rambo could be a good fit, please send me a message.",https://post.rescueme.org/26-03-04-00185
Urgent March 10th!,Domestic Cat,Female,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"I am described as a female, black Domestic Shorthair mix.  The shelter thinks I am about 2 years.  I weigh approximately 7.10 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 10, 2026 at 12:08PM.",https://post.rescueme.org/26-03-04-00102
Urgent on March 6th,Domestic Cat,Female,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"I am described as a female, white and brown tabby Domestic Mediumhair mix.  The shelter thinks I am about 1 year and 1 month old.  I weigh approximately 5.30 lbs.  I have been at the shelter since Feb 27, 2026 and I may be available for adoption on Mar 06, 2026 at 1:43PM.",https://post.rescueme.org/26-03-04-00099
Urgent now!,Domestic Cat,Male,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"I am described as a male, white and gray tabby Domestic Shorthair mix.  The shelter thinks I am about 2 years old.  I have been at the shelter since Feb 26, 2026 and I am available for adoption now!  Adoption hours: Tuesday - Friday 10:00am - 5:00 pm | Saturday 10:30am - 3:30 pm.",https://post.rescueme.org/26-03-04-00097
Urgent now!,Domestic Cat,Unknown,Unknown,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"I am described as a brown tabby Domestic Shorthair mix.  My age is unknown.  I have been at the shelter since Feb 26, 2026 and I am available for adoption now!  Adoption hours: Tuesday - Friday 10:00am - 5:00 pm | Saturday 10:30am - 3:30 pm.",https://post.rescueme.org/26-03-04-00096
Urgent now!,Domestic Cat,Female,Unknown,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"I am described as a spayed female, tortie Domestic Mediumhair.  My age is unknown.  I weigh approximately 6.10 lbs.  I have been at the shelter since Feb 24, 2026 and I am available for adoption now!  Adoption hours: Tuesday - Friday 10:00am - 5:00 pm | Saturday 10:30am - 3:30 pm.",https://post.rescueme.org/26-03-04-00094
Urgent Now!,Domestic Cat,Female,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"I am described as a spayed female, brown tabby and black Domestic Shorthair mix.  The shelter thinks I am about 1 year and 1 month old.  I weigh approximately 7.00 lbs.  I have been at the shelter since Feb 24, 2026 and I am available for adoption now!  Adoption hours: Tuesday - Friday 10:00am - 5:00 pm | Saturday 10:30am - 3:30 pm.",https://post.rescueme.org/26-03-04-00092
Debs Lynx Jackie P,Siamese / Domestic Cat,Female,Kitten,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-03-03-00288
Uzi,Domestic Cat,Male,Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Submissive,Yes,Yes,"This is Uzi. I adopted him from a shelter 6 months ago; he was severely abused and fearful. Uzi is missing a tail (now amputated), but other than that, he is the happiest boy. I recently moved into a super small one bedroom and since then, he has been very unhappy. I would love for him to go to a home with a little more space and time to give him. If you are interested in adopting him or have any questions please reach out to my number. (858) 289-7311",https://post.rescueme.org/26-03-02-00082
Raver,Domestic Cat,Female,Young Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,"This is Raver this is an absolute lover .... She has so much love to give anyone She can feel any hole in your heart.... She loves to bump her head against yours do circles around your neck giving you such an abundance of love...  She is one of the seven kittens we got for my very bad situation ,. The person taking care of her committed suicide leaving her and six other kittens neglected and very sick...   Fast forward 6 weeks and we got her better fixed vaccinated and ready for her new home...  Actually her best friend is Kashmir we just listed her for adoption too..  They are the same age but Raver got is twice her size we think Raver is going to be a very large cat..  Now why do we call her Raver? Because she looks like she would be at a Rave.. she's mostly black even though she's a tortoiseshell. But the only things that are really colored on her are the little fake eyelashes that it looks like she painted on under her eyes and the tips of her toes that are also painted light peach. Oh and did I tell you she has the softest fur I have ever felt on a kitty. She's a medium for Kitty and she feels like a bunny It is the softest fur ever..  If you would like more information or pictures about River please contact Cynthia 661-603-7744 Please text",https://post.rescueme.org/26-03-01-00313
Cashmere,Korat / Russian Blue,Female,Young Kitten,Los Angeles County,No,Unknown,Good,Good,High,Average,Yes,Yes,Let me start by saying Cashmere is the absolutely most loving kitten and she's a little pistol at times. She loves to play and also chase a laser and if you have one of those big cat wheels you run the little laser up it and she will spin that wheel...  She came from a very hard start as the person that was taking care of her committed and a few other kittens sick and neglected. I could show you videos and tell you more about their history if you're interested. Anyways fast forward 2 months she's gotten all better she's been fixed had all her vaccinations and she is happy and ready for her new home..  She likes to sleep by your head at night and during the day go between forcing you to pet her and playing..  Please contact Cynthia if you would like more pictures or more information   PLEASE TEXT  Cynthia 661.603.7744,https://post.rescueme.org/26-03-01-00311
Elvis,Domestic Cat,Male,Young Adult,Riverside County,No,Unknown,Good,Good,Unknown,Unknown,Yes,Yes,"URGENT: Foster Needed for Elvis by Monday! We rescued a sweet boy from Compton who had been tied up outside for an entire year. Despite everything he's been through, he is incredibly loving and trusting. We named him Elvis because he's so handsome and he has a whole lotta love to give. Elvis is approximately 4 years old, super sweet, very affectionate, and warms up quickly. He gets along with other cats. He loves attention and goes crazy for lickable treats! He received his vaccinations and was neutered last Monday on February 23rd. We urgently need a foster to take him in after his surgery. He deserves a safe, comfortable place to recover. If you can foster Elvis, please contact Jennifer with Pumpkin Pawz Rescue at (714) 366-8170. Text is best.  Please share! This is urgent. Thank you so much for your continued support.",https://post.rescueme.org/26-03-01-00293
CAULIFLOWER,Domestic Cat,Female,Young Adult,San Bernardino County,No,Good,Good,Good,Average,Average,Yes,Yes,"Meet Cauliflower & Endive!  These sweet, social calico sisters came to us from Morongo Valley as a bonded pair, and they're ready to head home together. They've done life side by side so far, and we'd love to keep it that way.  Cauliflower is her built-in best friend - her teammate, nap buddy, and partner in crime. Together, they balance each other out and make the whole house feel warmer.  Endive is the brave one. She's confident, curious, and pretty sure she's got this whole 'new place' thing handled. She loves other cats, does well with dogs, and has that friendly, easygoing energy that makes her settle in quickly. Give her a little time and she'll be curled up next to you like she's always lived there.  If you've been thinking about adopting two, this is your sign. Twice the purrs, twice the company, and two sisters who already know how to love each other - they're just waiting to love you too.",https://post.rescueme.org/26-02-28-00104
ENDIVE,Domestic Cat,Female,Young Adult,San Bernardino County,No,Good,Good,Good,Average,Average,Yes,Yes,"BONDED PAIR ALERT!  Meet Endive & Cauliflower   These sweet, social calico sisters came to us from Morongo Valley as a bonded pair, and they're ready to head home together. They've done life side by side so far, and we'd love to keep it that way.  Endive is the brave one. She's confident, curious, and pretty sure she's got this whole 'new place' thing handled. She loves other cats, does well with dogs, and has that friendly, easygoing energy that makes her settle in quickly. Give her a little time and she'll be curled up next to you like she's always lived there.  Cauliflower is her built-in best friend - her teammate, nap buddy, and partner in crime. Together, they balance each other out and make the whole house feel warmer.  If you've been thinking about adopting two, this is your sign. Twice the purrs, twice the company, and two sisters who already know how to love each other - they're just waiting to love you too.",https://post.rescueme.org/26-02-28-00100
LORD MACHINTOSH,Maine Coon / Domestic Cat,Male,Kitten,Riverside County,No,Unknown,Good,Unknown,Average,Average,Yes,Yes,All information on LORD MACHINTOSH can be found on: WORKINWHISKERS.COM,https://post.rescueme.org/26-02-27-00288
JINX,Bombay / Domestic Cat,Female,Young Adult,Riverside County,No,Unknown,Good,Unknown,Average,Average,Yes,Yes,All information on JINX can be found on: WORKINWHISKERS.COM,https://post.rescueme.org/26-02-27-00257
BP Lynxpoint,Siamese / Domestic Cat,Female,Kitten,Los Angeles County,No,Unknown,Unknown,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-26-00007
Pretty girl,Ragdoll / Siamese,Female,Kitten,Los Angeles County,No,Unknown,Good,Good,Unknown,Average,Yes,Yes,,https://post.rescueme.org/26-02-26-00006
Rag Mix Cutie,Ragdoll / Siamese,Female,Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-25-00307
